,FC_var_1650,FC_mean_41715,FC_var_39614,FC_mean_39513,FC_var_29892,FC_mean_8450,FC_var_36058,FC_mean_16186,FC_var_39606,FC_mean_1467,FC_var_17269,FC_mean_1635,FC_mean_25403,FC_var_27225,FC_var_17588,FC_var_30742
25,-0.008960386,-0.36044165,0.20775235,0.10700781,-0.11279221,3.207089,0.023561336,-0.066186376,-0.0028229547,0.09489311,0.32659486,-0.016376197,0.02078814,0.7362349,-0.0013806698,-0.095627315
26,0.0625247,0.82093626,0.08536528,0.30434728,-0.054044742,1.1608307,0.033741947,-0.023990843,-0.037088085,-0.061796654,0.07146106,0.12627812,0.069528505,-0.35753486,-0.0024396847,-0.13824071
27,0.07054334,0.009858338,0.014405453,0.4071044,0.441286,-0.1490661,0.20802417,0.88610905,0.20837879,0.31086865,0.090730555,0.53128797,0.6059489,0.3599855,0.08861966,-0.025977422
28,0.08480828,0.58876354,-0.0125832455,-0.20363799,-0.014439677,2.2932715,0.052472897,-0.01272603,0.012308365,-0.076248094,0.06815658,0.28665563,0.11554988,-0.09455876,-0.0038683056,-0.024617925
29,-0.030031517,1.1229688,0.16839975,0.6173508,0.021553287,-0.12138355,0.09010499,-0.043150317,-0.01661288,-0.28249508,0.12478291,0.21824005,0.18875621,0.36957887,0.0004943191,-0.3704584
30,-0.034700256,0.26199013,0.017374812,-0.8161767,-0.0146743255,-0.46539682,-0.08584492,-0.1495969,-0.03294289,-0.15612115,-0.11695115,-0.056491654,0.007016754,0.03997926,-0.0035000753,-0.3342618
31,-0.093161546,-0.41625753,-0.08034425,-0.17376989,-0.18943942,-0.39573577,0.05777401,-0.12217995,-0.062709704,-0.10619073,-0.047580633,-0.14338966,-0.03511962,-0.016650535,-0.009239055,-0.106392875
32,-0.10960456,-0.71281487,-0.0071669035,0.020057887,-0.50024706,-0.33354786,-0.016584795,-0.08392564,0.045085497,-0.18602884,0.018586481,0.08478143,-0.034484822,0.043744378,-0.020929001,-0.14700241
33,-0.12094604,-0.3530616,-0.15474893,-0.17484048,0.04158051,-0.3137841,0.027873173,-0.24541049,-0.13079542,-0.22680372,0.023765488,-0.19958988,-0.0498424,0.05720394,-0.0037941653,-0.116713986
34,0.2764251,-0.1421147,-0.025965275,-0.14617717,-0.06876396,-0.17855221,0.05657454,-0.12288627,0.05968966,-0.004104151,0.1006984,0.2877661,-0.0145426905,0.016184682,-0.006974889,-0.0279882
35,0.046240717,-0.1653726,0.23576821,-0.097374395,-0.011153778,3.2631006,-0.23483144,-0.02897251,-0.023052739,-0.03854822,0.12773399,-0.037534747,0.052659683,0.60490113,0.024349054,0.34056118
36,-0.36201,0.73420197,0.022569178,0.4301722,0.5320278,-0.26436588,0.06922408,-0.024691239,0.045308374,0.20848076,0.1890826,0.032464907,0.13362601,-0.6122282,-0.009450376,-0.065011196
37,-0.16449498,-0.26768032,0.013146409,-0.13348858,-0.016193435,0.060125057,-0.021748671,-0.089367904,-0.050640147,0.09440576,0.12923838,-0.08664327,0.020217035,-0.28942627,0.0005708207,-0.13891466
38,-0.25865737,-0.48899963,0.09544598,0.116262384,-0.076526225,-0.47888422,-0.4765076,0.018741667,-0.030255053,-0.050841834,-0.048336335,-0.103634335,-0.019397305,-0.2777956,-0.0014061313,0.14068502
39,-0.05600103,-0.509201,-0.085813336,0.07449784,0.016317341,-0.6387539,0.03764128,-0.19932957,-0.02629501,0.07840362,-0.06853444,-0.18360326,0.002957245,-0.24707247,0.00017376497,-0.13628663
